instance,benchmark_name,tw_range,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solved,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,sum,
64,twlib,"(50, 75]",30,62,4,98.765209375,12.5075,736.734,154.408291774,64.0,jdrasil-b75t1800-n1
64,twlib,"(50, 75]",30,61,4,94.9031875,13.4046,668.766,149.516561766,64.0,jdrasil-b100-n1
73,twlib,"(50, 75]",24,52,4,26.7649041096,12.0465,83.882,11.2713572697,73.0,jdrasil-b75-n1
68,twlib,"(50, 75]",24,49,4,28.0963882353,12.2395,233.438,26.3020270677,68.0,tcs-b75-n1
57,twlib,"(50, 75]",24,45,4,189.892754386,12.2082,3525.68,643.504079017,57.0,tcs-b100-n1
24,twlib,"(50, 75]",19,41,5,778.317304167,10.7425,6647.75,1508.68934202,24.0,tcs-b150-n1
84,twlib,"(50, 75]",24,35,3,6.91691428571,1.507,20.8834,4.29959942878,84.0,htd-b150-n1
84,twlib,"(50, 75]",19,28,3,7.08513095238,1.84,20.7497,4.29905220908,84.0,htd-b100-n1
21,twlib,"(75, 100]",15,74,8,229.059914286,37.0277,1262.78,270.393612364,21.0,jdrasil-b125-n1
15,twlib,"(75, 100]",10,51,7,241.317833333,33.8326,688.118,230.218706359,15.0,jdrasil-b150-n1
15,twlib,"(75, 100]",11,51,9,473.958186667,77.265,1264.9,407.647305611,15.0,tcs-b125-n1
20,twlib,"(75, 100]",6,24,6,39.978575,30.5648,78.0468,13.7905049095,20.0,tcs-b100-n1
22,twlib,"(75, 100]",5,22,6,61.5268181818,18.8432,233.919,59.5189882057,22.0,jdrasil-b100-n1
22,twlib,"(75, 100]",5,22,6,63.8318090909,18.9725,250.999,61.662036429,22.0,jdrasil-b75t1800-n1
22,twlib,"(75, 100]",1,2,2,8.84729545455,3.9417,32.9516,6.91356983244,22.0,htd-b100-n1
4,twlib,"(75, 100]",1,1,1,95.358575,93.5636,97.4897,1.77140217036,4.0,tcs-b150-n1
13,twlib,"(100, 125]",9,63,9,253.647792308,26.938,476.751,166.926396603,13.0,jdrasil-b150-n1
11,twlib,"(100, 125]",7,48,10,361.490227273,43.9423,1213.79,351.265541851,11.0,tcs-b150-n1
11,twlib,"(100, 125]",3,9,5,123.088927273,22.7487,478.07,173.214931428,11.0,jdrasil-b125-n1
11,twlib,"(100, 125]",2,6,5,58.6193636364,43.5797,103.424,18.9553611991,11.0,tcs-b125-n1
11,twlib,"(100, 125]",2,4,3,9.47998181818,7.452,10.913,0.945822998048,11.0,htd-b150-n1
