instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1f9m_graph.dimacs,twlib,atmost200,1,2,2,12.5075,12.5075,12.5075,,jdrasil-b75t1800-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,12.96,12.96,12.96,,tcs-b75-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,13.27,13.27,13.27,,jdrasil-b75-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,14.2521,14.2521,14.2521,,jdrasil-b100-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,17.6511,17.6511,17.6511,,jdrasil-b150-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,21.3837,21.3837,21.3837,,jdrasil-b125-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,4,4,3.0786,3.0786,3.0786,,htd-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,4,4,3.3399,3.3399,3.3399,,htd-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,4,4,10.2064,10.2064,10.2064,,tcs-b50-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,7.7719,7.7719,7.7719,,tcs-b125-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,8.2114,8.2114,8.2114,,tcs-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,8.7092,8.7092,8.7092,,tcs-b75-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,8.9333,8.9333,8.9333,,tcs-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,23.4946,23.4946,23.4946,,jdrasil-b50-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,23.7049,23.7049,23.7049,,jdrasil-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,27.0127,27.0127,27.0127,,jdrasil-b75-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,28.298,28.298,28.298,,jdrasil-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,28.3723,28.3723,28.3723,,jdrasil-b75t1800-n1
1fpo_graph-pp.dimacs,twlib,atmost200,1,7,7,30.2761,30.2761,30.2761,,jdrasil-b125-n1
1fpo_graph.dimacs,twlib,atmost200,1,4,4,3.0128,3.0128,3.0128,,htd-b150-n1
1fpo_graph.dimacs,twlib,atmost200,1,4,4,3.4055,3.4055,3.4055,,htd-b100-n1
1fpo_graph.dimacs,twlib,atmost200,1,6,6,16.6222,16.6222,16.6222,,jdrasil-b50-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,8.0397,8.0397,8.0397,,tcs-b125-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,8.5222,8.5222,8.5222,,tcs-b150-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,9.2788,9.2788,9.2788,,tcs-b100-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,9.8321,9.8321,9.8321,,tcs-b75-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,13.8973,13.8973,13.8973,,tcs-b50-n1
1fpo_graph.dimacs,twlib,atmost200,1,7,7,26.5281,26.5281,26.5281,,jdrasil-b75-n1
