instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1bkf_graph-pp.dimacs,twlib,atmost200,0,6.1421,1.0,jdrasil-b25-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,,,htd-b175-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,7.8585,1.0,tcs-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,7.927,1.0,tcs-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,8.5294,1.0,tcs-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,8.8883,1.0,tcs-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,9.9614,1.0,tcs-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,11.6141,1.0,jdrasil-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,13.8442,1.0,jdrasil-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,15.3656,1.0,jdrasil-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,16.6688,1.0,jdrasil-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,19.3514,1.0,jdrasil-b75t1800-n1
1bkf_graph-pp.dimacs,twlib,atmost200,2,20.4174,1.0,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,0,2.485,1.0,htd-b100-n1
1bkf_graph.dimacs,twlib,atmost200,0,2.7259,1.0,htd-b150-n1
1bkf_graph.dimacs,twlib,atmost200,0,7.7511,1.0,jdrasil-b25-n1
1bkf_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1bkf_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1bkf_graph.dimacs,twlib,atmost200,2,8.0775,1.0,tcs-b150-n1
1bkf_graph.dimacs,twlib,atmost200,2,8.1711,1.0,tcs-b125-n1
1bkf_graph.dimacs,twlib,atmost200,2,9.8327,1.0,tcs-b50-n1
1bkf_graph.dimacs,twlib,atmost200,2,10.0117,1.0,tcs-b75-n1
1bkf_graph.dimacs,twlib,atmost200,2,11.5421,1.0,tcs-b100-n1
1bkf_graph.dimacs,twlib,atmost200,2,13.0929,1.0,jdrasil-b50-n1
1bkf_graph.dimacs,twlib,atmost200,2,15.8367,1.0,jdrasil-b75-n1
1bkf_graph.dimacs,twlib,atmost200,2,17.1225,1.0,jdrasil-b75t1800-n1
1bkf_graph.dimacs,twlib,atmost200,2,18.3855,1.0,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,2,21.2054,1.0,jdrasil-b125-n1
1bkf_graph.dimacs,twlib,atmost200,2,22.04,1.0,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,2.6754,1.0,htd-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,2.7954,1.0,htd-b100-n1
1bkr_graph.dimacs,twlib,atmost200,0,8.2658,1.0,jdrasil-b50-n1
1bkr_graph.dimacs,twlib,atmost200,0,9.4534,1.0,jdrasil-b25-n1
1bkr_graph.dimacs,twlib,atmost200,0,12.2555,1.0,tcs-b50-n1
1bkr_graph.dimacs,twlib,atmost200,0,7200.09,0.0,tcs-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,7200.1,0.0,tcs-b125-n1
1bkr_graph.dimacs,twlib,atmost200,0,7200.11,0.0,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,7200.12,0.0,jdrasil-b125-n1
1bkr_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1bkr_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1bkr_graph.dimacs,twlib,atmost200,11,2106.78,1.0,jdrasil-b75t1800-n1
1bkr_graph.dimacs,twlib,atmost200,11,5298.89,1.0,jdrasil-b100-n1
1bkr_graph.dimacs,twlib,atmost200,12,28.1745,1.0,tcs-b75-n1
1bkr_graph.dimacs,twlib,atmost200,12,37.0925,1.0,jdrasil-b75-n1
1bkr_graph.dimacs,twlib,atmost200,12,1296.69,1.0,tcs-b100-n1
1c3m.edge,networks,atmost200,0,2.4396,1.0,htd-b150-n1
1c3m.edge,networks,atmost200,0,2.5804,1.0,htd-b100-n1
1c3m.edge,networks,atmost200,0,8.3973,1.0,tcs-b75-n1
1c3m.edge,networks,atmost200,0,8.6125,1.0,tcs-b100-n1
1c3m.edge,networks,atmost200,0,9.0756,1.0,tcs-b150-n1
1c3m.edge,networks,atmost200,0,9.1158,1.0,tcs-b125-n1
1c3m.edge,networks,atmost200,0,9.3662,1.0,tcs-b50-n1
1c3m.edge,networks,atmost200,0,13.3947,1.0,jdrasil-b50-n1
1c3m.edge,networks,atmost200,0,17.7522,1.0,jdrasil-b75t1800-n1
1c3m.edge,networks,atmost200,0,19.3182,1.0,jdrasil-b75-n1
1c3m.edge,networks,atmost200,0,20.7854,1.0,jdrasil-b100-n1
1c3m.edge,networks,atmost200,0,20.9837,1.0,jdrasil-b125-n1
1c3m.edge,networks,atmost200,0,22.5893,1.0,jdrasil-b25-n1
1c3m.edge,networks,atmost200,0,23.2983,1.0,jdrasil-b150-n1
1c3m.edge,networks,atmost200,0,,,htd-b175-n1
