,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
2349,blockmap_05_01-0006.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,56.6818,tw-limprovement,jdrasil-b125-n1,2349,1,1.0,56.0902,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0006.edge/run1,
2415,blockmap_05_01-0007.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,85.064,tw-limprovement,jdrasil-b125-n1,2415,1,1.0,84.215,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0007.edge/run1,
2450,blockmap_05_01-0008.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,81.499,tw-limprovement,jdrasil-b125-n1,2450,1,1.0,80.6381,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0008.edge/run1,
2386,blockmap_05_01-0009.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,56.7738,tw-limprovement,jdrasil-b125-n1,2386,1,1.0,55.9029,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0009.edge/run1,
2426,blockmap_05_01-0010.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,80.7094,tw-limprovement,jdrasil-b125-n1,2426,1,1.0,79.796,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0010.edge/run1,
2422,blockmap_05_01-0011.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,56.9169,tw-limprovement,jdrasil-b125-n1,2422,1,1.0,56.0359,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0011.edge/run1,
2317,blockmap_05_01-0012.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,84.3104,tw-limprovement,jdrasil-b125-n1,2317,1,1.0,83.4245,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0012.edge/run1,
2367,blockmap_05_01-0013.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,62.1972,tw-limprovement,jdrasil-b125-n1,2367,1,1.0,61.4494,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0013.edge/run1,
2393,blockmap_05_01-0014.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,42.9973,tw-limprovement,jdrasil-b125-n1,2393,1,1.0,42.1743,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0014.edge/run1,
2412,blockmap_05_01-0015.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,84.4124,tw-limprovement,jdrasil-b125-n1,2412,1,1.0,83.6767,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0015.edge/run1,
2400,blockmap_05_02-0000.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,73.8021,tw-limprovement,jdrasil-b125-n1,2400,1,1.0,72.9059,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0000.edge/run1,
2457,blockmap_05_02-0001.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,38.2647,tw-limprovement,jdrasil-b125-n1,2457,1,1.0,37.4146,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0001.edge/run1,
