instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,error,wall,wall,solver_args,run
,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amin,std,amax,mean,amax,,count
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,8.6676,8.6676,8.6676,,tw-limprovement,tcs-b75-n1,7.9964,,0,7.9964,7.9964,-w 1800 -b 75 -r 10,1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,10.087,10.087,10.087,,tw-limprovement,tcs-b50-n1,9.5218,,0,9.5218,9.5218,-w 1800 -b 50 -r 10,1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,13.0788,13.0788,13.0788,,tw-limprovement,tcs-b100-n1,10.7262,,0,10.7262,10.7262,-w 1800 -b 100 -r 10,1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,22.0105,22.0105,22.0105,,tw-limprovement,jdrasil-b125-n1,21.365,,0,21.365,21.365,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,22.9241,22.9241,22.9241,,tw-limprovement,jdrasil-b150-n1,22.3776,,0,22.3776,22.3776,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,23.1367,23.1367,23.1367,,tw-limprovement,jdrasil-b50-n1,22.5034,,0,22.5034,22.5034,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,24.483,24.483,24.483,,tw-limprovement,jdrasil-b75-n1,23.8328,,0,23.8328,23.8328,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,25.4065,25.4065,25.4065,,tw-limprovement,jdrasil-b100-n1,24.815,,0,24.815,24.815,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,28.8725,28.8725,28.8725,,tw-limprovement,jdrasil-b75t1800-n1,27.9607,,0,27.9607,27.9607,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1b8e.edge,networks,atmost200,41.0,41.0,41.0,,46.0,46.0,46.0,,1,5,5,14.5853,14.5853,14.5853,,tw-limprovement,tcs-b75-n1,14.0547,,0,14.0547,14.0547,-w 1800 -b 75 -r 10,1
1b8e.edge,networks,atmost200,41.0,41.0,41.0,,46.0,46.0,46.0,,1,5,5,40.4354,40.4354,40.4354,,tw-limprovement,jdrasil-b75-n1,39.8518,,0,39.8518,39.8518,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1b8e.edge,networks,atmost200,41.0,41.0,41.0,,46.0,46.0,46.0,,1,5,5,122.677,122.677,122.677,,tw-limprovement,tcs-b125-n1,121.9669,,0,121.9669,121.9669,-w 1800 -b 125 -r 10,1
1b8e.edge,networks,atmost200,41.0,41.0,41.0,,46.0,46.0,46.0,,1,5,5,124.281,124.281,124.281,,tw-limprovement,tcs-b100-n1,123.578,,0,123.578,123.578,-w 1800 -b 100 -r 10,1
1b8e.edge,networks,atmost200,41.0,41.0,41.0,,46.0,46.0,46.0,,1,5,5,133.985,133.985,133.985,,tw-limprovement,tcs-b150-n1,133.3019,,0,133.3019,133.3019,-w 1800 -b 150 -r 10,1
1bkb.edge,networks,atmost200,25.0,25.0,25.0,,27.0,27.0,27.0,,1,2,2,2.1501,2.1501,2.1501,,tw-limprovement,htd-b100-n1,1.6037,,0,1.6037,1.6037,-w 1800 -b 100 -r 10 -s htd_main,1
1bkb.edge,networks,atmost200,25.0,25.0,25.0,,27.0,27.0,27.0,,1,2,2,2.4187,2.4187,2.4187,,tw-limprovement,htd-b150-n1,1.6866,,0,1.6866,1.6866,-w 1800 -b 150 -r 10 -s htd_main,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,6.2535,6.2535,6.2535,,tw-limprovement,tcs-b150-n1,5.5805,,0,5.5805,5.5805,-w 1800 -b 150 -r 10,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,6.3782,6.3782,6.3782,,tw-limprovement,tcs-b125-n1,5.6871,,0,5.6871,5.6871,-w 1800 -b 125 -r 10,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,6.4791,6.4791,6.4791,,tw-limprovement,tcs-b50-n1,5.9083,,0,5.9083,5.9083,-w 1800 -b 50 -r 10,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,6.5013,6.5013,6.5013,,tw-limprovement,tcs-b75-n1,5.7113,,0,5.7113,5.7113,-w 1800 -b 75 -r 10,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,6.6592,6.6592,6.6592,,tw-limprovement,tcs-b100-n1,6.0634,,0,6.0634,6.0634,-w 1800 -b 100 -r 10,1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,12.9226,12.9226,12.9226,,tw-limprovement,jdrasil-b75-n1,12.349,,0,12.349,12.349,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
