instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1bkb.edge,networks,atmost200,1,2,2,2.4187,2.4187,2.4187,,htd-b150-n1
1bkb.edge,networks,atmost200,1,3,3,6.2535,6.2535,6.2535,,tcs-b150-n1
1bkb.edge,networks,atmost200,1,3,3,6.3782,6.3782,6.3782,,tcs-b125-n1
1bkb.edge,networks,atmost200,1,3,3,6.4791,6.4791,6.4791,,tcs-b50-n1
1bkb.edge,networks,atmost200,1,3,3,6.5013,6.5013,6.5013,,tcs-b75-n1
1bkb.edge,networks,atmost200,1,3,3,6.6592,6.6592,6.6592,,tcs-b100-n1
1bkb.edge,networks,atmost200,1,3,3,12.9226,12.9226,12.9226,,jdrasil-b75-n1
1bkb.edge,networks,atmost200,1,3,3,15.4376,15.4376,15.4376,,jdrasil-b75t1800-n1
1bkb.edge,networks,atmost200,1,3,3,16.8157,16.8157,16.8157,,jdrasil-b50-n1
1bkb.edge,networks,atmost200,1,3,3,17.9358,17.9358,17.9358,,jdrasil-b100-n1
1bkb.edge,networks,atmost200,1,3,3,18.7707,18.7707,18.7707,,jdrasil-b125-n1
1bkb.edge,networks,atmost200,1,3,3,20.1648,20.1648,20.1648,,jdrasil-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,0,0,7.8121,7.8121,7.8121,,jdrasil-b25-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,1,1,2.6012,2.6012,2.6012,,htd-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,1,1,2.9853,2.9853,2.9853,,htd-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,7.3712,7.3712,7.3712,,tcs-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,7.9756,7.9756,7.9756,,tcs-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,8.841,8.841,8.841,,tcs-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,9.2901,9.2901,9.2901,,tcs-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,9.4137,9.4137,9.4137,,tcs-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,13.4724,13.4724,13.4724,,jdrasil-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,13.9962,13.9962,13.9962,,jdrasil-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,15.1534,15.1534,15.1534,,jdrasil-b75t1800-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,16.996,16.996,16.996,,jdrasil-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,17.2014,17.2014,17.2014,,jdrasil-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,19.4012,19.4012,19.4012,,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,0,0,0,5.8468,5.8468,5.8468,,jdrasil-b25-n1
1bkb_graph.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1bkb_graph.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkb_graph.dimacs,twlib,atmost200,1,1,1,2.6535,2.6535,2.6535,,htd-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,1,1,2.7077,2.7077,2.7077,,htd-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,7.6408,7.6408,7.6408,,tcs-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.1865,8.1865,8.1865,,tcs-b125-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.2617,8.2617,8.2617,,tcs-b50-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.7264,8.7264,8.7264,,tcs-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,9.979,9.979,9.979,,tcs-b75-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,13.7468,13.7468,13.7468,,jdrasil-b50-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,16.1797,16.1797,16.1797,,jdrasil-b75-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,16.5315,16.5315,16.5315,,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,18.684,18.684,18.684,,jdrasil-b125-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,19.9901,19.9901,19.9901,,jdrasil-b75t1800-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,21.7046,21.7046,21.7046,,jdrasil-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,0,0,2.3379,2.3379,2.3379,,htd-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,0,0,2.5883,2.5883,2.5883,,htd-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,0,0,6.1421,6.1421,6.1421,,jdrasil-b25-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,7.8585,7.8585,7.8585,,tcs-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,7.927,7.927,7.927,,tcs-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,8.5294,8.5294,8.5294,,tcs-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,8.8883,8.8883,8.8883,,tcs-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,9.9614,9.9614,9.9614,,tcs-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,11.6141,11.6141,11.6141,,jdrasil-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,13.8442,13.8442,13.8442,,jdrasil-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,15.3656,15.3656,15.3656,,jdrasil-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,16.6688,16.6688,16.6688,,jdrasil-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,19.3514,19.3514,19.3514,,jdrasil-b75t1800-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,20.4174,20.4174,20.4174,,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,0,0,0,2.485,2.485,2.485,,htd-b100-n1
1bkf_graph.dimacs,twlib,atmost200,0,0,0,2.7259,2.7259,2.7259,,htd-b150-n1
1bkf_graph.dimacs,twlib,atmost200,0,0,0,7.7511,7.7511,7.7511,,jdrasil-b25-n1
1bkf_graph.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1bkf_graph.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,8.0775,8.0775,8.0775,,tcs-b150-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,8.1711,8.1711,8.1711,,tcs-b125-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,9.8327,9.8327,9.8327,,tcs-b50-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,10.0117,10.0117,10.0117,,tcs-b75-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,11.5421,11.5421,11.5421,,tcs-b100-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,13.0929,13.0929,13.0929,,jdrasil-b50-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,15.8367,15.8367,15.8367,,jdrasil-b75-n1
