instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,25.4065,tw-limprovement,jdrasil-b100-n1,1,1.0,24.815,cobra,,0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b100-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,28.8725,tw-limprovement,jdrasil-b75t1800-n1,1,1.0,27.9607,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost200/1b0n_graph.dimacs/run1,
1b8e.edge,networks,atmost200,41.0,46.0,5,0.122,1.0,14.5853,tw-limprovement,tcs-b75-n1,1,1.0,14.0547,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost200/1b8e.edge/run1,
1b8e.edge,networks,atmost200,41.0,46.0,5,0.122,1.0,40.4354,tw-limprovement,jdrasil-b75-n1,1,1.0,39.8518,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1b8e.edge/run1,
1b8e.edge,networks,atmost200,41.0,46.0,5,0.122,1.0,122.677,tw-limprovement,tcs-b125-n1,1,1.0,121.9669,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b125-n1/atmost200/1b8e.edge/run1,
1b8e.edge,networks,atmost200,41.0,46.0,5,0.122,1.0,124.281,tw-limprovement,tcs-b100-n1,1,1.0,123.578,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost200/1b8e.edge/run1,
1b8e.edge,networks,atmost200,41.0,46.0,5,0.122,1.0,133.985,tw-limprovement,tcs-b150-n1,1,1.0,133.3019,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost200/1b8e.edge/run1,
1bkb.edge,networks,atmost200,25.0,27.0,2,0.08,1.0,2.1501,tw-limprovement,htd-b100-n1,1,1.0,1.6037,cobra,,0,-w 1800 -b 100 -r 10 -s htd_main,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-htd-b100-n1/atmost200/1bkb.edge/run1,
1bkb.edge,networks,atmost200,25.0,27.0,2,0.08,1.0,2.4187,tw-limprovement,htd-b150-n1,1,1.0,1.6866,cobra,,0,-w 1800 -b 150 -r 10 -s htd_main,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-htd-b150-n1/atmost200/1bkb.edge/run1,
1bkb.edge,networks,atmost200,24.0,27.0,3,0.125,1.0,6.2535,tw-limprovement,tcs-b150-n1,1,1.0,5.5805,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b150-n1/atmost200/1bkb.edge/run1,
