instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
81,networks,atmost5000,45.2,26.0,131.0,24.9285465367,46.1733333333,30.0,131.0,24.4221727642,34,73,6,45.6187333333,15.8971,112.673,19.4438293118,tw-limprovement,jdrasil-b75-n1,111.8331,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",21.5114539453,43.7370641975
81,networks,atmost5000,48.0980392157,26.0,131.0,28.3945451817,49.4901960784,30.0,131.0,27.7693158353,26,71,6,3170.2223963,37.7731,7200.13,3086.03420825,tw-limprovement,tcs-b100-n1,7199.4515,0.0,-w 1800 -b 100 -r 10,3090.63420558,3164.99512593
81,networks,atmost5000,45.3333333333,28.0,131.0,24.8113603739,46.1733333333,30.0,131.0,24.4221727642,36,63,5,19.743982716,11.9358,33.9097,4.78935819142,tw-limprovement,htd-b100-n1,33.3696,0.0,-w 1800 -b 100 -r 10 -s htd_main,6.92589055899,17.9880012346
81,networks,atmost5000,44.75,26.0,131.0,24.7908149733,45.5972222222,30.0,131.0,24.3557320218,26,61,4,512.657341975,15.7949,7200.11,1441.92139412,tw-limprovement,tcs-b75-n1,7199.5572,0.0,-w 1800 -b 75 -r 10,1442.32560164,510.867266667
81,networks,atmost5000,51.5789473684,28.0,131.0,33.0827231623,53.1842105263,30.0,131.0,32.5043492002,27,61,10,3830.26735802,16.0478,7200.19,3254.39809603,tw-limprovement,jdrasil-b125-n1,7199.5564,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3255.75166586,3828.31460617
81,networks,atmost5000,55.9117647059,30.0,131.0,31.9216537574,56.5882352941,30.0,131.0,31.7977678339,11,23,6,4362.90912469,15.9328,7200.22,3097.27044818,tw-limprovement,tcs-b125-n1,7199.568,0.0,-w 1800 -b 125 -r 10,3098.87859107,4361.0603716
81,networks,atmost5000,45.92,28.0,131.0,24.5768293427,46.1733333333,30.0,131.0,24.4221727642,17,19,2,36.836817284,21.8804,101.554,11.9041865741,tw-limprovement,jdrasil-b50-n1,53.2943,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",11.1334688044,31.0014679012
81,networks,atmost5000,45.2602739726,29.0,131.0,24.3362026831,45.3835616438,30.0,131.0,24.2547991454,9,9,1,488.402682716,17.7981,7200.12,1467.12633183,tw-limprovement,tcs-b50-n1,7199.4956,0.0,-w 1800 -b 50 -r 10,1259.80781489,395.133204938
81,networks,atmost5000,104.333333333,57.0,131.0,27.744368798,104.555555556,59.0,131.0,27.3226605179,1,2,2,5874.25280988,16.1148,7200.35,2798.59089024,tw-limprovement,jdrasil-b150-n1,7199.562,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",2800.97314309,5872.23024568
81,networks,atmost5000,77.2142857143,38.0,131.0,40.8264216323,77.2857142857,38.0,131.0,40.7910785333,1,1,1,5582.59080988,16.0192,7200.14,2890.04583925,tw-limprovement,tcs-b150-n1,7199.4799,0.0,-w 1800 -b 150 -r 10,2892.28142361,5580.69073951
