,instance,solver_config,abs_improvement
29292,or_chain_240.fg.edge,tcs-b75-n1,11
5718,or_chain_244.fg.edge,jdrasil-b150-n1,14
1827,or_chain_245.fg.edge,jdrasil-b125-n1,15
9612,or_chain_25.fg.edge,tcs-b100-n1,6
5694,or_chain_26.fg.edge,jdrasil-b150-n1,16
9691,or_chain_27.fg.edge,tcs-b100-n1,9
1859,or_chain_30.fg.edge,jdrasil-b125-n1,12
1841,or_chain_32.fg.edge,jdrasil-b125-n1,11
11886,or_chain_35.fg.edge,jdrasil-b75t1800-n1,7
9699,or_chain_37.fg.edge,tcs-b100-n1,3
1697,or_chain_39.fg.edge,jdrasil-b125-n1,11
5790,or_chain_41.fg.edge,jdrasil-b150-n1,12
1816,or_chain_44.fg.edge,jdrasil-b125-n1,9
11768,or_chain_46.fg.edge,jdrasil-b75t1800-n1,10
9560,or_chain_47.fg.edge,tcs-b100-n1,2
9537,or_chain_49.fg.edge,tcs-b100-n1,10
1916,or_chain_51.fg.edge,jdrasil-b125-n1,16
1681,or_chain_52.fg.edge,jdrasil-b125-n1,4
13874,or_chain_54.fg.edge,tcs-b125-n1,19
1759,or_chain_55.fg.edge,jdrasil-b125-n1,12
9786,or_chain_56.fg.edge,tcs-b100-n1,7
21893,or_chain_57.fg.edge,jdrasil-b75-n1,8
1782,or_chain_58.fg.edge,jdrasil-b125-n1,1
1912,or_chain_59.fg.edge,jdrasil-b125-n1,16
11865,or_chain_61.fg.edge,jdrasil-b75t1800-n1,6
9583,or_chain_67.fg.edge,tcs-b100-n1,3
5567,or_chain_73.fg.edge,jdrasil-b150-n1,15
11829,or_chain_8.fg.edge,jdrasil-b75t1800-n1,12
1796,or_chain_81.fg.edge,jdrasil-b125-n1,8
1661,or_chain_83.fg.edge,jdrasil-b125-n1,6
1774,or_chain_88.fg.edge,jdrasil-b125-n1,6
29243,or_chain_89.fg.edge,tcs-b75-n1,7
13693,or_chain_9.fg.edge,tcs-b125-n1,12
5614,or_chain_95.fg.edge,jdrasil-b150-n1,12
9524,or_chain_97.fg.edge,tcs-b100-n1,11
9566,or_chain_98.fg.edge,tcs-b100-n1,6
1687,pedigree30.edge,jdrasil-b125-n1,2
9657,pedigree31.edge,tcs-b100-n1,2
1818,pedigree37.edge,jdrasil-b125-n1,1
9522,pedigree39.edge,tcs-b100-n1,2
9700,pedigree40.edge,tcs-b100-n1,5
6922,pedigree41.edge,jdrasil-b50-n1,3
1727,pedigree51.edge,jdrasil-b125-n1,5
9516,1d2n.edge,tcs-b100-n1,3
1460,1eg3.edge,jdrasil-b125-n1,6
30130,1exm.edge,tcs-b150-n1,1
1568,1p1m.edge,jdrasil-b125-n1,2
9375,1qb7.edge,tcs-b100-n1,8
5346,1qpk.edge,jdrasil-b150-n1,4
9315,1tl2.edge,tcs-b100-n1,12
1504,Grids_15.edge,jdrasil-b125-n1,2
1591,Grids_16.edge,jdrasil-b125-n1,2
1623,Grids_17.edge,jdrasil-b125-n1,2
1580,Grids_18.edge,jdrasil-b125-n1,2
5463,Grids_26.edge,jdrasil-b150-n1,5
11613,Grids_28.edge,jdrasil-b75t1800-n1,5
5383,Grids_29.edge,jdrasil-b150-n1,5
1577,Grids_30.edge,jdrasil-b125-n1,2
1491,ImageAlignment_11.edge,jdrasil-b125-n1,1
1467,ImageAlignment_14.edge,jdrasil-b125-n1,1
1554,ImageAlignment_15.edge,jdrasil-b125-n1,1
1551,Pedigree_11.edge,jdrasil-b125-n1,2
1498,Pedigree_12.edge,jdrasil-b125-n1,1
5360,Promedus_11.edge,jdrasil-b150-n1,4
6705,Promedus_18.edge,jdrasil-b50-n1,2
1520,Promedus_21.edge,jdrasil-b125-n1,1
