instance,benchmark_name,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,solved,time,time,time,time,solver,solver_config,wall,tw_range,wall,wall,wall,wall,solver_args
count,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,sum,mean,amin,amax,std,,,amin,,std,sum,mean,amax,
75,networks,61.8666666667,51.0,75.0,7.14773321341,61.9066666667,51.0,75.0,7.10000634437,2,3,2,75.0,22.911744,9.0347,42.8341,5.34120153094,tw-limprovement,jdrasil-b75-n1,8.3954,"(50, 75]",5.31900437923,1660.2037,22.1360493333,41.9708,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
78,networks,61.5256410256,51.0,75.0,7.22500053292,61.5256410256,51.0,75.0,7.22500053292,0,0,0,78.0,17.3406410256,8.0389,30.9579,4.25060738008,tw-limprovement,jdrasil-b25-n1,7.4903,"(50, 75]",4.25298801075,1301.6983,16.6884397436,30.2736,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
78,networks,61.5256410256,51.0,75.0,7.22500053292,61.5256410256,51.0,75.0,7.22500053292,0,0,0,78.0,18.4684410256,10.1245,32.6024,4.03248652978,tw-limprovement,jdrasil-b50-n1,9.4503,"(50, 75]",3.98794515475,1385.0563,17.7571320513,31.2763,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
76,networks,61.4078947368,51.0,75.0,7.26668678574,61.4078947368,51.0,75.0,7.26668678574,0,0,0,76.0,26.3289907895,12.7008,38.0399,6.01482442154,tw-limprovement,tcs-b50-n1,12.1761,"(50, 75]",5.9803009472,1951.7029,25.6803013158,37.1244,-w 1800 -b 50 -r 10
19,networks,84.6315789474,76.0,95.0,4.70473197153,95.4736842105,81.0,102.0,5.31631055289,17,206,18,19.0,797.080526316,38.9831,4056.35,862.716188356,tw-limprovement,jdrasil-b150-n1,38.0724,"(75, 100]",862.705549768,15128.5773,796.240910526,4055.4992,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
17,networks,88.1176470588,76.0,99.0,7.73694346093,92.1176470588,76.0,101.0,7.46560741786,12,68,14,17.0,1455.80072353,53.0331,5718.54,2101.02069632,tw-limprovement,tcs-b150-n1,52.3028,"(75, 100]",2101.00791803,24735.5906,1455.03474118,5717.7137,-w 1800 -b 150 -r 10
26,networks,91.1538461538,76.0,99.0,7.54555396345,91.9615384615,76.0,99.0,6.93674718715,5,21,8,26.0,97.4565692308,31.868,406.225,108.395072317,tw-limprovement,jdrasil-b125-n1,31.0985,"(75, 100]",108.412761092,2511.6294,96.6011307692,405.4021,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
26,networks,91.3846153846,76.0,99.0,7.48372593339,92.1538461538,76.0,99.0,6.8858829946,5,20,7,26.0,113.301373077,35.9491,1268.37,237.990651074,tw-limprovement,tcs-b125-n1,35.4169,"(75, 100]",238.006387809,2927.001,112.576961538,1267.733,-w 1800 -b 125 -r 10
38,networks,88.0263157895,76.0,99.0,8.29029664681,88.5,76.0,99.0,8.25521947913,7,18,9,38.0,12.3733394737,4.4849,21.4729,3.17676939235,tw-limprovement,htd-b150-n1,3.9122,"(75, 100]",3.14666328762,446.1883,11.7417973684,20.9038,-w 1800 -b 150 -r 10 -s htd_main
38,networks,88.5,76.0,99.0,8.25521947913,88.5,76.0,99.0,8.25521947913,0,0,0,38.0,12.2338421053,6.3967,20.4748,2.68491846478,tw-limprovement,htd-b100-n1,5.8121,"(75, 100]",2.66943550159,441.2198,11.6110473684,19.9056,-w 1800 -b 100 -r 10 -s htd_main
39,networks,88.7948717949,76.0,100.0,8.35142435749,88.7948717949,76.0,100.0,8.35142435749,0,0,0,39.0,25.8997794872,14.7532,98.134,12.8923341756,tw-limprovement,jdrasil-b25-n1,14.1751,"(75, 100]",12.8908867968,984.3471,25.2396692308,97.543,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
39,networks,88.7948717949,76.0,100.0,8.35142435749,88.7948717949,76.0,100.0,8.35142435749,0,0,0,39.0,27.4536333333,16.3379,98.49,12.5755296581,tw-limprovement,jdrasil-b50-n1,15.6347,"(75, 100]",12.5626202609,1042.1304,26.7212923077,97.6874,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
38,networks,88.5,76.0,99.0,8.25521947913,88.5,76.0,99.0,8.25521947913,0,0,0,38.0,29.7065710526,15.9638,36.2842,5.07813353858,tw-limprovement,jdrasil-b75-n1,15.2263,"(75, 100]",4.98822036178,1097.7874,28.8891421053,35.4637,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
38,networks,88.5,76.0,99.0,8.25521947913,88.5,76.0,99.0,8.25521947913,0,0,0,38.0,30.5392078947,20.2515,40.5672,5.08786920192,tw-limprovement,jdrasil-b100-n1,18.8799,"(75, 100]",5.1513359143,1129.1342,29.7140578947,39.8169,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
38,networks,88.5,76.0,99.0,8.25521947913,88.5,76.0,99.0,8.25521947913,0,0,0,38.0,30.8165736842,18.5649,42.8095,4.73128285841,tw-limprovement,jdrasil-b75t1800-n1,17.263,"(75, 100]",4.798056632,1137.9772,29.9467684211,42.1128,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'"
38,networks,89.0,76.0,100.0,8.36336929389,89.0,76.0,100.0,8.36336929389,0,0,0,38.0,49.5655763158,28.9468,110.104,17.1107906799,tw-limprovement,tcs-b100-n1,28.3486,"(75, 100]",17.0947409017,1856.7862,48.8627947368,109.335,-w 1800 -b 100 -r 10
37,networks,88.7027027027,76.0,99.0,8.2726620224,88.7027027027,76.0,99.0,8.2726620224,0,0,0,37.0,50.2371135135,28.0626,78.1296,14.8873201826,tw-limprovement,tcs-b75-n1,27.5342,"(75, 100]",14.8581632107,1835.7669,49.6153216216,77.5504,-w 1800 -b 75 -r 10
38,networks,89.0,76.0,100.0,8.36336929389,89.0,76.0,100.0,8.36336929389,0,0,0,38.0,53.7639578947,33.265,109.973,17.2735930653,tw-limprovement,tcs-b50-n1,32.7212,"(75, 100]",17.2796650967,2019.8167,53.1530710526,109.4255,-w 1800 -b 50 -r 10
19,networks,113.315789474,101.0,125.0,7.82483675072,113.526315789,101.0,128.0,8.17427143238,1,4,4,19.0,17.0767421053,11.3924,21.0397,3.07423326345,tw-limprovement,htd-b150-n1,10.8461,"(100, 125]",3.03938358393,313.2181,16.4851631579,20.4781,-w 1800 -b 150 -r 10 -s htd_main
17,networks,114.705882353,104.0,125.0,7.02464150226,114.941176471,104.0,128.0,7.41173552749,1,4,4,17.0,47.1975,37.8039,123.841,19.9805618557,tw-limprovement,jdrasil-b150-n1,37.028,"(100, 125]",20.0095967798,787.3726,46.3160352941,123.0287,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,16.8831833333,11.6776,21.3352,2.99024720624,tw-limprovement,htd-b100-n1,10.9704,"(100, 125]",3.01933001294,292.7598,16.2644333333,20.7035,-w 1800 -b 100 -r 10 -s htd_main
20,networks,112.7,101.0,125.0,7.33484832836,112.7,101.0,125.0,7.33484832836,0,0,0,20.0,38.63593,27.6926,81.6305,13.7325355752,tw-limprovement,jdrasil-b25-n1,27.1436,"(100, 125]",13.6013887018,758.3693,37.918465,80.8435,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
20,networks,112.7,101.0,125.0,7.33484832836,112.7,101.0,125.0,7.33484832836,0,0,0,20.0,38.982985,26.4326,81.7933,13.100096275,tw-limprovement,jdrasil-b50-n1,25.8796,"(100, 125]",13.0955576602,765.028,38.2514,81.2148,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,39.7424944444,32.7764,48.9946,4.87630607451,tw-limprovement,jdrasil-b75-n1,31.8065,"(100, 125]",4.91835504458,701.602,38.9778888889,48.0945,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,41.0224222222,33.103,50.0905,4.73203378594,tw-limprovement,jdrasil-b125-n1,32.3929,"(100, 125]",4.67167253366,722.9465,40.1636944444,49.3473,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,41.4435,34.6494,49.7491,3.73932914257,tw-limprovement,jdrasil-b100-n1,33.7895,"(100, 125]",3.78850988792,731.3264,40.6292444444,48.9593,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,41.7527888889,32.9618,49.1321,4.9616051985,tw-limprovement,jdrasil-b75t1800-n1,32.203,"(100, 125]",4.94713911114,736.0743,40.8930166667,48.2536,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'"
18,networks,112.722222222,101.0,125.0,7.59880451554,112.722222222,101.0,125.0,7.59880451554,0,0,0,18.0,87.8397722222,65.5916,115.674,13.6809162832,tw-limprovement,tcs-b125-n1,64.8383,"(100, 125]",13.7160290677,1568.0471,87.1137277778,115.0364,-w 1800 -b 125 -r 10
18,networks,112.0,101.0,125.0,7.38041924523,112.0,101.0,125.0,7.38041924523,0,0,0,18.0,88.8554111111,63.2931,124.379,15.8678967812,tw-limprovement,tcs-b100-n1,62.52,"(100, 125]",15.8712315135,1586.5543,88.1419055556,123.5198,-w 1800 -b 100 -r 10
