,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
2341,blockmap_05_02-0008.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,38.0275,tw-limprovement,jdrasil-b125-n1,2341,1,1.0,37.1395,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0008.edge/run1,
2410,blockmap_05_02-0009.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,37.1927,tw-limprovement,jdrasil-b125-n1,2410,1,1.0,36.3545,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0009.edge/run1,
2314,blockmap_05_02-0010.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,47.8695,tw-limprovement,jdrasil-b125-n1,2314,1,1.0,47.0815,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0010.edge/run1,
2443,blockmap_05_02-0011.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,56.942,tw-limprovement,jdrasil-b125-n1,2443,1,1.0,56.2707,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0011.edge/run1,
2419,blockmap_05_02-0012.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,89.2295,tw-limprovement,jdrasil-b125-n1,2419,1,1.0,88.3361,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0012.edge/run1,
2411,blockmap_05_02-0013.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,39.0672,tw-limprovement,jdrasil-b125-n1,2411,1,1.0,38.2542,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0013.edge/run1,
2332,blockmap_05_02-0014.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,37.2604,tw-limprovement,jdrasil-b125-n1,2332,1,1.0,36.3671,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0014.edge/run1,
2420,blockmap_05_02-0015.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,40.7884,tw-limprovement,jdrasil-b125-n1,2420,1,1.0,39.9306,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0015.edge/run1,
2369,c1908.isc.cnf.edge,networks,atmost1000,39.0,42.0,3,0.0769,1.0,2945.27,tw-limprovement,jdrasil-b125-n1,2369,1,1.0,2944.3653,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/c1908.isc.cnf.edge/run1,
2350,linkage_19.edge,networks,atmost1000,23.0,25.0,2,0.087,1.0,61.7383,tw-limprovement,jdrasil-b125-n1,2350,1,1.0,60.8775,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/linkage_19.edge/run1,
