instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1d4t_graph.dimacs,twlib,atmost200,4,10.9571,1.0,tcs-b75-n1
1d4t_graph.dimacs,twlib,atmost200,4,16.0996,1.0,jdrasil-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.0061,1.0,jdrasil-b75-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.1388,1.0,jdrasil-b125-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.1776,1.0,jdrasil-b100-n1
1d4t_graph.dimacs,twlib,atmost200,4,20.3625,1.0,jdrasil-b75t1800-n1
1e5k.edge,networks,atmost200,3,3.6114,1.0,htd-b150-n1
1e5k.edge,networks,atmost200,3,130.306,1.0,jdrasil-b75t1800-n1
1e5k.edge,networks,atmost200,3,144.89,1.0,jdrasil-b100-n1
1e5k.edge,networks,atmost200,8,72.5865,1.0,tcs-b100-n1
1eg3.edge,networks,atmost500,3,4.3222,1.0,htd-b100-n1
1eg3.edge,networks,atmost500,3,4.6024,1.0,htd-b150-n1
1eg3.edge,networks,atmost500,6,28.0965,1.0,tcs-b150-n1
1eg3.edge,networks,atmost500,6,29.7823,1.0,tcs-b100-n1
1eg3.edge,networks,atmost500,6,29.9485,1.0,tcs-b125-n1
1eg3.edge,networks,atmost500,6,122.069,1.0,jdrasil-b100-n1
1eg3.edge,networks,atmost500,6,128.407,1.0,jdrasil-b125-n1
1eg3.edge,networks,atmost500,6,128.696,1.0,jdrasil-b150-n1
1eg3.edge,networks,atmost500,6,135.179,1.0,jdrasil-b75t1800-n1
1erv_graph.dimacs,twlib,atmost200,4,15.1402,1.0,tcs-b75-n1
1erv_graph.dimacs,twlib,atmost200,4,33.5716,1.0,jdrasil-b75-n1
1erv_graph.dimacs,twlib,atmost200,6,11.6092,1.0,tcs-b125-n1
1erv_graph.dimacs,twlib,atmost200,6,11.8703,1.0,tcs-b150-n1
1erv_graph.dimacs,twlib,atmost200,6,13.1818,1.0,tcs-b100-n1
1erv_graph.dimacs,twlib,atmost200,6,83.9842,1.0,jdrasil-b100-n1
1erv_graph.dimacs,twlib,atmost200,6,87.9808,1.0,jdrasil-b75t1800-n1
1erv_graph.dimacs,twlib,atmost200,6,94.6956,1.0,jdrasil-b150-n1
1erv_graph.dimacs,twlib,atmost200,6,97.7678,1.0,jdrasil-b125-n1
1et9.edge,networks,atmost200,1,3.6108,1.0,htd-b150-n1
1et9.edge,networks,atmost200,2,3.9534,1.0,htd-b100-n1
1et9.edge,networks,atmost200,5,15.4458,1.0,tcs-b75-n1
1et9.edge,networks,atmost200,5,41.6499,1.0,jdrasil-b75-n1
1et9.edge,networks,atmost200,6,45.8807,1.0,jdrasil-b100-n1
1et9.edge,networks,atmost200,6,49.3643,1.0,jdrasil-b150-n1
1et9.edge,networks,atmost200,6,51.4549,1.0,jdrasil-b75t1800-n1
1et9.edge,networks,atmost200,6,51.9525,1.0,jdrasil-b125-n1
1et9.edge,networks,atmost200,6,90.728,1.0,tcs-b100-n1
1et9.edge,networks,atmost200,6,93.3594,1.0,tcs-b125-n1
1et9.edge,networks,atmost200,6,93.984,1.0,tcs-b150-n1
1exm.edge,networks,atmost500,1,66.2717,1.0,tcs-b150-n1
1f5f.edge,networks,atmost200,2,25.2953,1.0,tcs-b75-n1
1f5f.edge,networks,atmost200,3,4.5168,1.0,htd-b100-n1
1f5f.edge,networks,atmost200,6,148.696,1.0,jdrasil-b100-n1
1f5f.edge,networks,atmost200,6,153.331,1.0,jdrasil-b75t1800-n1
